Name,State,Party,DW-Nominate,Legislative Efficacy Score,Misalignment,CR_mean,CR_std,CR_median,CR_97.5,CR_2.5,PR_mean,PR_std,PR_median,PR_97.5,PR_2.5,Combine_mean,Combine_std,Combine_median,Combine_97.5,Combine_2.5, K-S score
"Mullin, Markwayne",ok,Republican,0.49,1.404404163,0.0,0.725680344732,0.0594984034741,0.728196856736,0.843294615772,0.605080831867,0.652854599623,0.0839725825025,0.642731101399,0.811167530334,0.529740532072,0.689843666528,0.0906293154776,0.690039588204,0.84800514306,0.533393060827,0.444444444444
"Lofgren, Zoe",ca,Democratic,-0.403,0.246750608,0.0,0.598585645107,0.0615777223882,0.604675647216,0.720628283613,0.467870340463,0.386762384092,0.0673119720796,0.382393528069,0.541952974041,0.28087123242,0.407680445136,0.0678346957443,0.401652954976,0.536912650889,0.275702958755,0.885157096425
"Takano, Mark",ca,Democratic,-0.476,0.594112754,0.0,0.171148600692,0.079456665106,0.184276185463,0.293528461572,0.0,0.360312969702,0.0759350202845,0.355299072792,0.542689779898,0.235312397369,0.268647458124,0.0732018374926,0.273309807832,0.412106072889,0.126193960366,0.834833483348
"Meeks, Gregory",ny,Democratic,-0.423,0.227640375,0.0,0.475928437671,0.0624290964035,0.481606683228,0.588457866318,0.358245611052,0.309038910223,0.0754150194792,0.297545521908,0.462240544951,0.187951025371,0.340552693223,0.0715869114421,0.345778760792,0.468345214881,0.201583438428,0.77310819262
"Welch, Peter",vt,Democratic,-0.417,0.799210548,0.0,0.580356222894,0.0653160827706,0.580903284102,0.682584873874,0.460533150286,0.231355406504,0.0783822967349,0.209291530449,0.404809288156,0.118609324847,0.239922160168,0.0654844122576,0.235513395733,0.375395704534,0.12455012729,0.975609756098
"Pascrell, Bill,",nj,Democratic,-0.368,0.996924222,0.0,0.369749401228,0.0649550383434,0.379366353424,0.470627984591,0.235638589125,0.0933640958844,0.0845520718282,0.07106945396,0.29449728712,0.0,0.130222941729,0.0763572968885,0.133813588046,0.297472601819,0.0,0.881595492013
"Hartzler, Vicky",mo,Republican,0.504,0.091389112,0.0,0.920074295887,0.0533433827933,0.920760219318,1.0,0.804961896263,0.757943737412,0.0974353219721,0.745435047698,0.92966501308,0.612378210813,0.758454100929,0.0934015961536,0.753083879648,0.93199638176,0.614601313461,0.696707008162
"Massie, Thomas",ky,Republican,0.604,0.091389112,0.0,0.808310040482,0.0568785554397,0.807956491182,0.918149296512,0.692453898089,0.185469057656,0.161094864733,0.126027667161,0.496768775391,0.0,0.253190246477,0.137594325895,0.22320430186,0.548046452702,0.0751144855025,1.0
"Cole, Tom",ok,Republican,0.337,1.26077795,0.0,0.60745656069,0.0777200654458,0.6083503098,0.743451024757,0.446784080602,0.689239941865,0.0951226764189,0.682520300664,0.871004819723,0.534831317124,0.6356111922,0.0884304585443,0.629273346611,0.804196649668,0.505198177721,0.364288041707
"Gohmert, Louie",tx,Republican,0.597,0.270380348,0.0,0.926151178451,0.0700896794139,0.936258946363,1.0,0.772460171451,0.599115805404,0.0889224412439,0.602325384354,0.782303234003,0.459030178822,0.720666409286,0.100903374277,0.711619646651,0.920149476643,0.546771123745,0.949814029022
"Beatty, Joyce",oh,Democratic,-0.449,0.413906276,0.0,0.13916921863,0.0887487214121,0.141260716685,0.295309424024,0.0,0.207478867463,0.0812342628921,0.19021971346,0.409994918653,0.0860337202633,0.169365417594,0.0732224749919,0.166582403701,0.310368416352,0.0205043928478,0.327942794279
"Hudson, Richard",nc,Republican,0.683,2.050586224,0.0,0.895103663319,0.0676446293599,0.898993309721,1.0,0.746665236666,0.615915220345,0.0849501444049,0.618382590806,0.769260957358,0.489464956562,0.641305602415,0.0856523692655,0.646695327994,0.798961025238,0.498382005756,0.934462277265
"Barr, Andy",ky,Republican,0.47,1.364548564,0.0,0.711861675015,0.05366770797,0.71263794977,0.807250352124,0.595431443556,0.677263975883,0.100340737418,0.668547801337,0.862035756742,0.476133460292,0.673436067468,0.0902686565414,0.666483583682,0.831948148348,0.509192126101,0.31228021978
"Conyers, John,",mi,Democratic,-0.66,0.502640128,0.0,0.411419988196,0.0752900783434,0.414933524143,0.548313114121,0.244612601167,0.137286245466,0.0925379755238,0.116378986814,0.367951717402,0.0,0.134331362475,0.079514373991,0.127880568472,0.294182767676,0.0,0.86473760158
"Thornberry, Mac",tx,Republican,0.529,0.368015409,0.0,0.734053629295,0.0573488020417,0.739933117127,0.837897138755,0.600180377039,0.789800990458,0.10252460654,0.783610966084,0.974606831005,0.632432131586,0.796101743577,0.101592526866,0.801091316747,0.96473527741,0.647919107473,0.338698688469
"Castro, Joaquin",tx,Democratic,-0.41,0.121852152,0.0,0.143938657519,0.0887620049983,0.14705275849,0.320425539379,0.0,0.424188461647,0.0800507080059,0.420203266235,0.581666581748,0.28249727013,0.34729996141,0.0738284395505,0.342015271149,0.489824696749,0.204542769617,0.925700776765
"McCarthy, Kevin",ca,Republican,0.459,1.644431829,0.0,0.70856554643,0.0510995547596,0.711258360655,0.799360000772,0.603012707945,0.795400783624,0.115432885099,0.782048013315,1.0,0.594164606064,0.780000552281,0.0976490112536,0.779859535373,0.970524417697,0.616281229255,0.445970403492
"Holding, George",nc,Republican,0.671,1.456344724,0.0,0.944111645493,0.0467107566705,0.948034815559,1.0,0.839075337706,0.790749175445,0.102227373568,0.781871780904,1.0,0.627520849813,0.75744534526,0.100856716653,0.752944112099,0.954121243533,0.595886934108,0.707551039008
"Ellison, Keith",mn,Democratic,-0.541,1.138201833,0.0,0.392321129938,0.0819988026827,0.401565278104,0.526300663515,0.224215185926,0.26656360035,0.0753549710236,0.255586606936,0.439183442011,0.154069019274,0.225017353798,0.0722043677291,0.229585842924,0.378869821045,0.0858567320869,0.607389592323
"Polis, Jared",co,Democratic,-0.285,1.563552737,0.0,0.102421899093,0.0867734214992,0.0928475139121,0.273017382949,0.0,0.434716985274,0.0763184987712,0.438121806187,0.61143854794,0.297650836006,0.357786200313,0.0700601929274,0.355401159605,0.497702420752,0.230834093688,0.983870967742
"Shimkus, John",il,Republican,0.371,0.461863488,0.0,0.776739316554,0.0473357735977,0.781534925818,0.866146325859,0.6829475805,0.54795419529,0.0902767440127,0.546702574678,0.733323586724,0.394080854008,0.575555727835,0.0815074396925,0.57163674935,0.728939898609,0.435043318298,0.91170007867
"Ryan, Tim",oh,Democratic,-0.409,0.343399912,0.0,0.469693098998,0.0722230637424,0.471936372864,0.580792544711,0.338623697838,0.31605386923,0.0851418866459,0.306550604589,0.492601152051,0.183223244116,0.335375244362,0.0703927974442,0.328149025567,0.473798806139,0.211528635005,0.730025916327
"Fortenberry, Jeff",ne,Republican,0.295,0.513693631,0.0,0.754658255542,0.0497332387613,0.757019657409,0.854635693942,0.664385276268,0.672439563546,0.0907690522486,0.670732819668,0.828230820169,0.521497353546,0.680830814567,0.0824640367042,0.686515158686,0.833131251531,0.544074754783,0.490038115038
"LoBiondo, Frank",nj,Republican,0.2,0.875072062,1.0,0.714909478062,0.062815924487,0.718491668262,0.843894688734,0.566841974412,0.334506099412,0.0978554368598,0.324382177118,0.525098384809,0.16905352849,0.390875256606,0.0840759784222,0.384546921211,0.564105262734,0.226779749664,0.977528089888
"Herrera Beutler,",wa,Republican,0.377,0.595160127,0.0,0.717448046055,0.0546406320495,0.723835916966,0.822959130908,0.609317467113,0.396557222063,0.0780347938166,0.393462041308,0.573380029978,0.270741014459,0.43965069001,0.0725984722696,0.434588736534,0.578137876114,0.31505415137,0.973682773683
"King, Steve",ia,Republican,0.62,0.270380348,0.0,0.968684480869,0.0562821614529,1.0,1.0,0.80568357673,0.724687244056,0.0938712856927,0.723380139402,0.881187417378,0.569876856041,0.828707276599,0.108749518131,0.837346026423,1.0,0.641633321112,0.888589837697
